Investigation.Type,Accident.Number,Event.Date,Location,Country,Injury.Severity,Aircraft.damage,Aircraft.Category,Make,Model,Amateur.Built,Number.of.Engines,Engine.Type,Purpose.of.flight,Total.Fatal.Injuries,Total.Serious.Injuries,Total.Minor.Injuries,Total.Uninjured,Weather.Condition,Broad.phase.of.flight,Total.Injuries
Accident,MIA82FA037,1982-01-21,"15NM W. OPA LOC, FL",United States,Non-Fatal,Destroyed,Airplane,douglas,DC-3,No,2.0,Reciprocating,Unknown,0.0,0.0,2.0,0.0,VMC,Takeoff,2.0
Accident,LAX82FUJ25,1982-01-21,"BAGDAD, AZ",United States,Non-Fatal,Destroyed,Airplane,piper,PA-23-250,No,2.0,Reciprocating,Executive/corporate,0.0,1.0,2.0,0.0,IMC,Maneuvering,3.0
Accident,LAX82FA050,1982-01-21,"10NM N. OF MCNA, AZ",United States,Fatal(1),Destroyed,Airplane,piper,PA-28-235,No,1.0,Reciprocating,Personal,1.0,0.0,0.0,0.0,IMC,Cruise,1.0
Accident,ATL82FLT02,1982-01-21,"NEW ALBANY, MS",United States,Fatal(1),Destroyed,Airplane,grumman,AA-1,Yes,1.0,Reciprocating,Personal,1.0,0.0,0.0,0.0,IMC,Takeoff,1.0
Accident,ATL82FKJ11,1982-01-21,"MUSCLE SHOALS, AL",United States,Non-Fatal,Destroyed,Airplane,piper,PA-32,No,1.0,Reciprocating,Personal,0.0,1.0,3.0,0.0,VMC,Approach,4.0
Accident,ANC82DA016,1982-01-21,"PORT GRAHAM, AK",United States,Non-Fatal,Destroyed,Airplane,cessna,207,No,1.0,Reciprocating,Unknown,0.0,0.0,1.0,0.0,VMC,Landing,1.0
Accident,CHI82DA029,1982-01-21,"SHELL LAKE, WI",United States,Non-Fatal,Substantial,Airplane,mooney,M-20,Yes,1.0,Reciprocating,Personal,0.0,0.0,0.0,4.0,VMC,Takeoff,0.0
Accident,LAX82DA046,1982-01-21,"DOS PALOS, CA",United States,Non-Fatal,Substantial,Airplane,air tractor,301,No,1.0,Reciprocating,Unknown,0.0,0.0,0.0,1.0,VMC,Takeoff,0.0
Accident,LAX82FUQ09,1982-01-22,"LANCASTER, CA",United States,Fatal(2),Destroyed,Airplane,sons mustang,II,Yes,1.0,Reciprocating,Unknown,2.0,0.0,0.0,0.0,VMC,Unknown,2.0
Accident,LAX82DA060,1982-01-22,"CARSON CITY, NV",United States,Non-Fatal,Substantial,Airplane,cessna,172M,No,1.0,Reciprocating,Personal,0.0,0.0,0.0,2.0,VMC,Landing,0.0
Accident,SEA82FYK07,1982-01-23,"LAPINE, OR",United States,Fatal(1),Destroyed,Airplane,cessna,172,No,1.0,Reciprocating,Personal,1.0,1.0,0.0,0.0,IMC,Approach,2.0
Accident,LAX82FA049A,1982-01-23,"VICTORVILLE, CA",United States,Fatal(2),Destroyed,Airplane,mooney,M20C,No,1.0,Reciprocating,Personal,2.0,0.0,4.0,0.0,VMC,Unknown,6.0
Accident,FTW82DA047,1982-01-23,"HOBBS, NM",United States,Non-Fatal,Destroyed,Airplane,grumman,G-164A,No,1.0,Reciprocating,Aerial Application,0.0,0.0,0.0,1.0,VMC,Takeoff,0.0
Accident,DCA82AA013,1982-01-23,"BOSTON, MA",United States,Fatal(2),Destroyed,Airplane,mcdonnell douglas,DC-10-30,No,3.0,Turbo Fan,Unknown,2.0,4.0,24.0,182.0,IMC,Landing,30.0
Accident,CHI82FA032,1982-01-23,"LONDON, OH",United States,Fatal(1),Destroyed,Airplane,beech,A23A,No,1.0,Reciprocating,Personal,1.0,0.0,0.0,0.0,IMC,Cruise,1.0
Accident,MKC82DA020,1982-01-23,"TOPEKA, KS",United States,Non-Fatal,Substantial,Airplane,piper,PA-32-300,No,1.0,Reciprocating,Personal,0.0,0.0,0.0,1.0,VMC,Landing,0.0
Accident,MIA82FA038B,1982-01-23,"NEWPORT RICHEY, FL",United States,Non-Fatal,Substantial,Airplane,cessna,150M,No,1.0,Reciprocating,Personal,0.0,0.0,0.0,3.0,VMC,Cruise,0.0
Accident,MIA82FA038A,1982-01-23,"NEWPORT RICHEY, FL",United States,Non-Fatal,Substantial,Airplane,piper,PA-34-200T,No,2.0,Reciprocating,Personal,0.0,0.0,0.0,3.0,VMC,Approach,0.0
Accident,LAX82FA049B,1982-01-23,"VICTORVILLE, CA",United States,Fatal(2),Substantial,Airplane,piper,PA-28-235,No,1.0,Reciprocating,Personal,2.0,0.0,4.0,0.0,VMC,Cruise,6.0
Accident,FTW82FPD08,1982-01-23,"SAGINAW, TX",United States,Non-Fatal,Substantial,Airplane,cessna,150H,No,1.0,Reciprocating,Personal,0.0,1.0,0.0,0.0,VMC,Landing,1.0
Accident,FTW82DA049,1982-01-23,"HOUSTON, TX",United States,Non-Fatal,Substantial,Airplane,piper,PA-38-112,No,1.0,Reciprocating,Unknown,0.0,0.0,1.0,1.0,VMC,Go-around,1.0
Accident,FTW82AA046,1982-01-24,"LAREDO, TX",United States,Fatal(7),Destroyed,Airplane,robertson,C-402B,No,2.0,Reciprocating,Personal,7.0,0.0,0.0,0.0,VMC,Approach,7.0
Accident,NYC82FNA10,1982-01-24,"TAUNTON, MA",United States,Non-Fatal,Substantial,Airplane,cessna,172,No,1.0,Reciprocating,Personal,0.0,0.0,2.0,0.0,UNK,Approach,2.0
Accident,LAX82DA052,1982-01-24,"FLAGSTAFF, AZ",United States,Non-Fatal,Substantial,Airplane,cessna,172,No,1.0,Reciprocating,Personal,0.0,0.0,0.0,4.0,VMC,Landing,0.0
Accident,CHI82FEE12,1982-01-24,"WHEELING, IL",United States,Non-Fatal,Substantial,Airplane,cessna,172RG,No,1.0,Reciprocating,Personal,0.0,0.0,0.0,2.0,VMC,Standing,0.0
Accident,ATL82DA040,1982-01-24,"ATHENS, GA",United States,Non-Fatal,Substantial,Airplane,cessna,177,No,1.0,Reciprocating,Business,0.0,0.0,0.0,1.0,VMC,Descent,0.0
Accident,ANC82DAG16,1982-01-25,"BETHEL, AK",United States,Fatal(2),Destroyed,Airplane,cessna,182M,No,1.0,Reciprocating,Personal,2.0,0.0,0.0,0.0,UNK,Cruise,2.0
Accident,ANC82FA017,1982-01-25,"ANCHORAGE, AK",United States,Non-Fatal,Substantial,Airplane,cessna,152II,No,1.0,Reciprocating,Instructional,0.0,0.0,1.0,0.0,VMC,Descent,1.0
Accident,FTW82FPM09,1982-01-26,"MUSKOGEE, OK",United States,Non-Fatal,Destroyed,Airplane,cessna,A188B,No,1.0,Reciprocating,Aerial Application,0.0,1.0,0.0,0.0,VMC,Maneuvering,1.0
Accident,NYC82DA020,1982-01-26,"SUSSEX, NJ",United States,Non-Fatal,Substantial,Airplane,piper,PA-28-140,No,1.0,Reciprocating,Personal,0.0,0.0,0.0,2.0,VMC,Landing,0.0
Accident,MKC82DA025,1982-01-26,"LEE'S SUMMIT, MO",United States,Non-Fatal,Substantial,Airplane,cessna,172N,No,1.0,Reciprocating,Instructional,0.0,0.0,0.0,3.0,VMC,Taxi,0.0
Accident,MKC82DA021,1982-01-26,"ESSEX, MO",United States,Non-Fatal,Substantial,Airplane,cessna,152,No,1.0,Reciprocating,Instructional,0.0,0.0,0.0,1.0,VMC,Landing,0.0
Accident,DEN82DA023,1982-01-26,"HAVRE, MT",United States,Non-Fatal,Substantial,Airplane,bellanca,7GCBC,No,1.0,Reciprocating,Business,0.0,0.0,0.0,1.0,VMC,Takeoff,0.0
Accident,NYC82DA027,1982-01-27,"ANSONIA, CT",United States,Non-Fatal,Substantial,Airplane,cessna,152,No,1.0,Reciprocating,Instructional,0.0,0.0,0.0,2.0,VMC,Landing,0.0
Accident,LAX82DA053,1982-01-27,"LODI, CA",United States,Non-Fatal,Substantial,Airplane,cessna,152,No,1.0,Reciprocating,Instructional,0.0,0.0,0.0,1.0,VMC,Landing,0.0
Accident,DEN82DA031,1982-01-27,"BROOMFIELD, CO",United States,Non-Fatal,Substantial,Airplane,cessna,172N,No,1.0,Reciprocating,Instructional,0.0,0.0,0.0,1.0,VMC,Taxi,0.0
Accident,CHI82DA031,1982-01-27,"HOFFMAN, MN",United States,Non-Fatal,Substantial,Airplane,aeronca,7BCM,No,1.0,Reciprocating,Instructional,0.0,0.0,0.0,1.0,VMC,Landing,0.0
Accident,ATL82FID05,1982-01-27,"CHARLOTTESVILLE, VA",United States,Non-Fatal,Substantial,Airplane,piper,PA-38-112,No,1.0,Reciprocating,Personal,0.0,0.0,0.0,2.0,VMC,Approach,0.0
Accident,LAX82FVM09,1982-01-28,"LOS GATOS, CA",United States,Fatal(1),Destroyed,Airplane,piper,28-151,No,1.0,Reciprocating,Unknown,1.0,0.0,0.0,0.0,IMC,Cruise,1.0
Accident,SEA82DA021,1982-01-28,"SUNRIVER, OR",United States,Non-Fatal,Substantial,Airplane,cessna,340A,No,2.0,Reciprocating,Instructional,0.0,0.0,0.0,2.0,VMC,Takeoff,0.0
Accident,MKC82DA022,1982-01-28,"WENTZVILLE, MO",United States,Non-Fatal,Substantial,Airplane,cessna,172H,No,1.0,Reciprocating,Personal,0.0,0.0,0.0,1.0,VMC,Approach,0.0
Accident,LAX82DA054,1982-01-28,"FOWLER, CA",United States,Non-Fatal,Substantial,Airplane,mooney,M20C,Yes,1.0,Reciprocating,Business,0.0,0.0,0.0,1.0,VMC,Landing,0.0
Accident,FTW82DA048,1982-01-28,"S. OF MORGAN CI, LA",United States,Non-Fatal,Substantial,Airplane,cessna,A185F,No,1.0,Reciprocating,Business,0.0,0.0,0.0,2.0,VMC,Takeoff,0.0
Accident,ATL82DA043,1982-01-28,"LOUISVILLE, KY",United States,Non-Fatal,Substantial,Airplane,piper,PA-32-260,No,1.0,Reciprocating,Business,0.0,0.0,0.0,2.0,VMC,Approach,0.0
Accident,MKC82FA023,1982-01-29,"5M E. GREENSBUR, KS",United States,Fatal(1),Destroyed,Airplane,cessna,172N,No,1.0,Reciprocating,Personal,1.0,0.0,0.0,0.0,IMC,Cruise,1.0
Accident,ATL82FLG10,1982-01-29,"DARLINGTON, SC",United States,Fatal(1),Destroyed,Airplane,cessna,150,No,1.0,Reciprocating,Personal,1.0,0.0,0.0,0.0,VMC,Maneuvering,1.0
Accident,DEN82DA025,1982-01-29,"NEAR GILLETE, WY",United States,Non-Fatal,Substantial,Airplane,cessna,172,No,1.0,Reciprocating,Unknown,0.0,0.0,0.0,2.0,VMC,Maneuvering,0.0
Incident,LAX82IA062,1982-01-30,"TRUCKEE, CA",United States,Incident,Minor,Airplane,piper,PA-28R-201T,No,1.0,Reciprocating,Personal,0.0,0.0,0.0,1.0,VMC,Landing,0.0
Accident,LAX82DA055,1982-01-30,"AVALON, CA",United States,Non-Fatal,Destroyed,Airplane,mooney,M20J,No,1.0,Reciprocating,Personal,0.0,0.0,0.0,4.0,VMC,Climb,0.0
Accident,LAX82FVA11,1982-01-30,"OAKDALE, CA",United States,Fatal(1),Substantial,Airplane,cessna,TR182,No,1.0,Reciprocating,Personal,1.0,0.0,0.0,0.0,VMC,Takeoff,1.0
Accident,LAX82DVG15,1982-01-30,"REDDING, CA",United States,Non-Fatal,Substantial,Airplane,aeronca,7AC,No,1.0,Reciprocating,Personal,0.0,0.0,0.0,1.0,VMC,Taxi,0.0
Accident,LAX82DA057,1982-01-30,"ELKO, NV",United States,Non-Fatal,Substantial,Airplane,cessna,177B,No,1.0,Reciprocating,Personal,0.0,0.0,0.0,2.0,VMC,Cruise,0.0
Accident,LAX82DA056,1982-01-30,"BIG BEAR, CA",United States,Non-Fatal,Substantial,Airplane,cessna,172,No,1.0,Reciprocating,Personal,0.0,0.0,0.0,3.0,VMC,Landing,0.0
Accident,FTW82DA050,1982-01-30,"BALD KNOB, AR",United States,Non-Fatal,Substantial,Airplane,cessna,140,No,1.0,Reciprocating,Instructional,0.0,0.0,0.0,2.0,VMC,Takeoff,0.0
Accident,DEN82DA026,1982-01-30,"BRYCE CANYON, UT",United States,Non-Fatal,Substantial,Airplane,cessna,172,No,1.0,Reciprocating,Personal,0.0,0.0,0.0,1.0,VMC,Landing,0.0
Accident,ATL82DA045,1982-01-30,"CONYERS, GA",United States,Non-Fatal,Substantial,Airplane,cessna,182L,No,1.0,Reciprocating,Personal,0.0,0.0,0.0,2.0,VMC,Landing,0.0
Accident,ATL82DA044,1982-01-30,"CUMBERLAND ISLA, GA",United States,Non-Fatal,Substantial,Airplane,cessna,172N,No,1.0,Reciprocating,Personal,0.0,0.0,0.0,3.0,VMC,Landing,0.0
Accident,SEA82DA023,1982-01-30,"SINCLAIR ISLAND, WA",United States,Non-Fatal,Substantial,Airplane,cessna,172P,No,1.0,Reciprocating,Unknown,0.0,0.0,0.0,3.0,IMC,Landing,0.0
Accident,NYC82FFA03,1982-01-31,"LAKE PLACID, NY",United States,Non-Fatal,Substantial,Airplane,piper,PA-22,No,1.0,Reciprocating,Personal,0.0,0.0,1.0,1.0,VMC,Takeoff,1.0
Accident,NYC82DA017,1982-01-31,"CALDWELL, NJ",United States,Non-Fatal,Substantial,Airplane,cessna,150L,No,1.0,Reciprocating,Instructional,0.0,0.0,0.0,2.0,VMC,Approach,0.0
Accident,MKC82DA024,1982-01-31,"MALDEN, MO",United States,Non-Fatal,Substantial,Airplane,beech,36,No,1.0,Reciprocating,Business,0.0,1.0,0.0,1.0,IMC,Cruise,1.0
Accident,MIA82DA040,1982-01-31,"NEW PORT RICHEY, FL",United States,Non-Fatal,Substantial,Airplane,cessna,152,No,1.0,Reciprocating,Personal,0.0,0.0,1.0,0.0,VMC,Landing,1.0
Accident,MIA82DA039,1982-01-31,"DELAND, FL",United States,Non-Fatal,Substantial,Airplane,piper,PA-28-161,No,1.0,Reciprocating,Instructional,0.0,0.0,0.0,2.0,VMC,Approach,0.0
Accident,LAX82DA058,1982-01-31,"EL CAJON, CA",United States,Non-Fatal,Substantial,Airplane,cessna,180K,No,1.0,Reciprocating,Personal,0.0,0.0,0.0,3.0,VMC,Landing,0.0
Accident,FTW82DA052,1982-01-31,"ALBUQUERQUE, NM",United States,Non-Fatal,Substantial,Airplane,cessna,152,No,1.0,Reciprocating,Instructional,0.0,0.0,0.0,2.0,VMC,Takeoff,0.0
Accident,FTW82DA051,1982-01-31,"MCKINNEY, TX",United States,Non-Fatal,Substantial,Airplane,cessna,152,No,1.0,Reciprocating,Instructional,0.0,0.0,0.0,1.0,VMC,Landing,0.0
Accident,DEN82DA027,1982-01-31,"TRINIDAD, CO",United States,Non-Fatal,Substantial,Airplane,piper,PA-22,No,1.0,Reciprocating,Personal,0.0,0.0,0.0,2.0,VMC,Takeoff,0.0
Accident,NYC82AA028,1982-02-01,"GROTON, CT",United States,Non-Fatal,Destroyed,Airplane,beech,99,No,2.0,Turbo Prop,Unknown,0.0,5.0,2.0,0.0,IMC,Approach,7.0
Accident,MIA82FLD13,1982-02-01,"CRYSTAL RIVER, FL",United States,Non-Fatal,Destroyed,Airplane,cessna,172,No,1.0,Reciprocating,Unknown,0.0,1.0,1.0,0.0,VMC,Takeoff,2.0
Accident,FTW82FQG14,1982-02-01,"PAMPA, TX",United States,Fatal(2),Destroyed,Airplane,cessna,182,No,1.0,Reciprocating,Personal,2.0,0.0,0.0,0.0,IMC,Maneuvering,2.0
Accident,LAX82FVD09,1982-02-01,"SONOMA, CA",United States,Non-Fatal,Substantial,Airplane,bellanca,7ECA,No,1.0,Reciprocating,Instructional,0.0,0.0,0.0,1.0,VMC,Takeoff,0.0
Accident,LAX82DA059,1982-02-01,"LAS VEGAS, NV",United States,Non-Fatal,Substantial,Airplane,cessna,TR182,No,1.0,Reciprocating,Personal,0.0,0.0,0.0,2.0,VMC,Landing,0.0
Accident,FTW82DA053,1982-02-01,"LAS CRUCES, NM",United States,Non-Fatal,Substantial,Airplane,cessna,P206,No,1.0,Reciprocating,Personal,0.0,0.0,0.0,3.0,VMC,Landing,0.0
Accident,CHI82DA033,1982-02-01,"ANDERSON, IN",United States,Non-Fatal,Substantial,Airplane,grumman,1159,No,2.0,Turbo Jet,Executive/corporate,0.0,0.0,0.0,4.0,VMC,Landing,0.0
Accident,DEN82DA028,1982-02-01,"ROCK SPRINGS, WY",United States,Non-Fatal,Substantial,Airplane,piper,PA-32,No,1.0,Reciprocating,Unknown,0.0,1.0,0.0,0.0,IMC,Cruise,1.0
Accident,NYC82FA029,1982-02-02,"NEWBURGH, NY",United States,Fatal(1),Destroyed,Airplane,piper,PA-23-250,No,2.0,Reciprocating,Unknown,1.0,0.0,0.0,0.0,IMC,Approach,1.0
Accident,FTW82FRD08,1982-02-02,"JEANERETTE, LA",United States,Fatal(2),Destroyed,Airplane,cessna,150G,No,1.0,Reciprocating,Personal,2.0,0.0,0.0,0.0,VMC,Unknown,2.0
Accident,SEA82DA024,1982-02-02,"MOSES LAKE, WA",United States,Non-Fatal,Substantial,Airplane,cessna,U206G,No,1.0,Reciprocating,Business,0.0,0.0,0.0,1.0,VMC,Landing,0.0
Accident,FTW82DA054,1982-02-02,"DRYDEN, TX",United States,Non-Fatal,Substantial,Airplane,cessna,T210N,No,1.0,Reciprocating,Business,0.0,0.0,0.0,1.0,VMC,Landing,0.0
Accident,DEN82DTM10,1982-02-02,"WEST JORDAN, UT",United States,Non-Fatal,Substantial,Airplane,smith miniplane,BK-1,Yes,1.0,Reciprocating,Personal,0.0,0.0,0.0,1.0,VMC,Landing,0.0
Accident,LAX82FUJ27,1982-02-03,"PARADISE VALLEY, AZ",United States,Fatal(1),Destroyed,Airplane,mooney,M20J,No,1.0,Reciprocating,Personal,1.0,0.0,0.0,0.0,VMC,Climb,1.0
Accident,DEN82DA029,1982-02-03,"HAYDEN, CO",United States,Non-Fatal,Destroyed,Airplane,mitsubishi,MU2B-40,No,2.0,Turbo Prop,Business,0.0,0.0,6.0,0.0,IMC,Landing,6.0
Accident,DCA82AA014,1982-02-03,"PHILADELPHIA, PA",United States,Non-Fatal,Minor,Airplane,mcdonnell-douglas,DC-10-10,No,3.0,Turbo Fan,Unknown,0.0,1.0,0.0,154.0,IMC,Takeoff,1.0
Accident,SEA82DA025,1982-02-03,"NR. COLBERT, WA",United States,Non-Fatal,Substantial,Airplane,cessna,150J,No,1.0,Reciprocating,Instructional,0.0,0.0,0.0,2.0,VMC,Maneuvering,0.0
Accident,LAX82DVM10,1982-02-03,"MT. HAMILTON, CA",United States,Non-Fatal,Substantial,Airplane,taylorcraft,F19,No,1.0,Reciprocating,Personal,0.0,0.0,0.0,1.0,VMC,Landing,0.0
Accident,NYC82FHD06,1982-02-03,"TOMS RIVER, NJ",United States,Non-Fatal,Substantial,Airplane,ted smith,AEROSTAR 600,No,2.0,Reciprocating,Unknown,0.0,0.0,0.0,1.0,IMC,Approach,0.0
Accident,SEA82DA026,1982-02-04,"BURNS, OR",United States,Non-Fatal,Substantial,Airplane,bellanca,7KCAB,No,1.0,Reciprocating,Instructional,0.0,0.0,0.0,1.0,VMC,Landing,0.0
Accident,MIA82DA050,1982-02-05,"120 NM SSE OF M, FL",United States,Fatal(2),Destroyed,Airplane,piper,PA-28,No,1.0,Reciprocating,Personal,2.0,0.0,0.0,0.0,VMC,Cruise,2.0
Accident,ATL82FA047,1982-02-05,"LAMBSBURG, VA",United States,Fatal(4),Destroyed,Airplane,piper,PA-32R-300,No,1.0,Reciprocating,Unknown,4.0,0.0,0.0,0.0,IMC,Cruise,4.0
Accident,NYC82FNE03,1982-02-05,"ELLINGTON, CT",United States,Non-Fatal,Substantial,Airplane,piper,PA-28-140,No,1.0,Reciprocating,Instructional,0.0,1.0,1.0,0.0,VMC,Takeoff,2.0
Accident,ATL82DA046,1982-02-05,"LUVERNE, AL",United States,Non-Fatal,Substantial,Airplane,cessna,T210L,Yes,1.0,Reciprocating,Personal,0.0,1.0,0.0,0.0,VMC,Climb,1.0
Accident,SEA82DA028A,1982-02-06,"MEDFORD, OR",United States,Non-Fatal,Minor,Airplane,boeing,A75N1,No,1.0,Reciprocating,Aerial Application,0.0,0.0,0.0,3.0,VMC,Taxi,0.0
Accident,MIA82FLD15,1982-02-06,"FT. PIERCE, FL",United States,Non-Fatal,Destroyed,Airplane,piper,PA-31,No,2.0,Reciprocating,Unknown,0.0,2.0,0.0,0.0,IMC,Unknown,2.0
Accident,LAX82DA065B,1982-02-06,"SAN JOSE, CA",United States,Non-Fatal,Minor,Airplane,bellanca,7KCAB,No,1.0,Reciprocating,Personal,0.0,0.0,0.0,3.0,VMC,Standing,0.0
Accident,SEA82DA028B,1982-02-06,"MEDFORD, OR",United States,Non-Fatal,Substantial,Airplane,taylorcraft,BC12-D,No,1.0,Reciprocating,Personal,0.0,0.0,0.0,3.0,VMC,Taxi,0.0
Accident,MKC82DA027,1982-02-06,"SPRINGFIELD, MO",United States,Non-Fatal,Substantial,Airplane,piper,PA-28-140,No,1.0,Reciprocating,Instructional,0.0,0.0,0.0,1.0,VMC,Landing,0.0
Accident,LAX82DA065A,1982-02-06,"SAN JOSE, CA",United States,Non-Fatal,Substantial,Airplane,cessna,180,No,1.0,Reciprocating,Personal,0.0,0.0,0.0,3.0,VMC,Taxi,0.0
Accident,LAX82DA064,1982-02-06,"CORONA, CA",United States,Non-Fatal,Substantial,Airplane,cessna,152,No,1.0,Reciprocating,Instructional,0.0,0.0,0.0,2.0,VMC,Takeoff,0.0
Accident,CHI82DA039,1982-02-06,"EAST LANSING, MI",United States,Non-Fatal,Substantial,Airplane,piper,PA-28-181,No,1.0,Reciprocating,Personal,0.0,0.0,0.0,3.0,VMC,Takeoff,0.0
Accident,CHI82DA037,1982-02-06,"BROWNSBURG, IN",United States,Non-Fatal,Substantial,Airplane,ercoupe,415-C,No,2.0,Reciprocating,Personal,0.0,0.0,0.0,2.0,VMC,Approach,0.0
Accident,CHI82DA036,1982-02-06,"PEORIA, IL",United States,Non-Fatal,Substantial,Airplane,cessna,182H,No,1.0,Reciprocating,Personal,0.0,0.0,0.0,2.0,VMC,Landing,0.0
Accident,CHI82DA035,1982-02-06,"BUFFALO, MN",United States,Non-Fatal,Substantial,Airplane,cessna,150,No,1.0,Reciprocating,Instructional,0.0,0.0,2.0,0.0,VMC,Landing,2.0
Accident,MIA82FA044B,1982-02-07,"W. OF HOMESTEAD, FL",United States,Fatal(8),Destroyed,Airplane,piper,PA-24-180,No,1.0,Reciprocating,Personal,8.0,0.0,0.0,0.0,VMC,Cruise,8.0
Accident,MIA82FA044A,1982-02-07,"W. OF HOMESTEAD, FL",United States,Fatal(8),Destroyed,Airplane,cessna,182B,No,1.0,Reciprocating,Personal,8.0,0.0,0.0,0.0,VMC,Cruise,8.0
Accident,LAX82FJA04,1982-02-07,"KALAUPAPA, HI",United States,Non-Fatal,Destroyed,Airplane,piper,PA-28-140,Yes,1.0,Reciprocating,Personal,0.0,4.0,0.0,0.0,VMC,Landing,4.0
Accident,LAX82FA072,1982-02-07,"6 NM NORTH OF S, AZ",United States,Fatal(4),Destroyed,Airplane,cessna,P210N,No,1.0,Reciprocating,Unknown,4.0,0.0,0.0,0.0,IMC,Cruise,4.0
Accident,SEA82FYM09,1982-02-07,"AURORA, OR",United States,Non-Fatal,Substantial,Airplane,rockwell comdr,112TCA,No,1.0,Reciprocating,Personal,0.0,1.0,0.0,0.0,VMC,Takeoff,1.0
Accident,SEA82DA027,1982-02-07,"PROSSER, WA",United States,Non-Fatal,Substantial,Airplane,piper,PA-28-180,No,1.0,Reciprocating,Instructional,0.0,0.0,0.0,1.0,VMC,Landing,0.0
Accident,NYC82DA033,1982-02-07,"MARTHAS VINEYARD, MA",United States,Non-Fatal,Substantial,Airplane,bellanca,7KCAB,No,1.0,Reciprocating,Personal,0.0,0.0,0.0,2.0,VMC,Landing,0.0
Accident,NYC82DA031,1982-02-07,"WRIGHTSTOWN, NJ",United States,Non-Fatal,Substantial,Airplane,cessna,172N,No,1.0,Reciprocating,Personal,0.0,0.0,0.0,5.0,VMC,Landing,0.0
Accident,MKC82DA029,1982-02-07,"CAPE GIRARDEAU, MO",United States,Non-Fatal,Substantial,Airplane,cessna,152,No,1.0,Reciprocating,Instructional,0.0,0.0,0.0,1.0,VMC,Landing,0.0
Accident,MKC82DA028,1982-02-07,"WASHINGTON, IA",United States,Non-Fatal,Substantial,Airplane,piper,PA-38,No,1.0,Reciprocating,Instructional,0.0,0.0,0.0,1.0,VMC,Takeoff,0.0
Accident,FTW82DA056,1982-02-07,"ARTESIA, NM",United States,Non-Fatal,Substantial,Airplane,cessna,177RG,No,1.0,Reciprocating,Business,0.0,0.0,0.0,2.0,VMC,Taxi,0.0
Accident,CHI82DA041,1982-02-07,"BENTON HARBOR, MI",United States,Non-Fatal,Substantial,Airplane,cessna,172,No,1.0,Reciprocating,Personal,0.0,0.0,0.0,4.0,VMC,Landing,0.0
Accident,CHI82DA040,1982-02-07,"CANTON, MI",United States,Non-Fatal,Substantial,Airplane,cessna,152,No,1.0,Reciprocating,Instructional,0.0,0.0,0.0,1.0,VMC,Cruise,0.0
Accident,CHI82DA038,1982-02-07,"GREENCASTLE, IN",United States,Non-Fatal,Substantial,Airplane,cessna,172,No,1.0,Reciprocating,Instructional,0.0,0.0,0.0,1.0,VMC,Landing,0.0
Accident,LAX82FA070,1982-02-08,"SANTA YSABEL, CA",United States,Fatal(1),Destroyed,Airplane,cessna,172N,No,1.0,Reciprocating,Personal,1.0,0.0,0.0,0.0,IMC,Cruise,1.0
Accident,ATL82DA049,1982-02-08,"BROWNSVILLE, KY",United States,Non-Fatal,Destroyed,Airplane,cessna,C-172,No,1.0,Reciprocating,Personal,0.0,0.0,1.0,0.0,VMC,Climb,1.0
Accident,FTW82FQD09,1982-02-08,"SANDERSON, TX",United States,Fatal(1),Substantial,Airplane,piper,PA-18A-150,No,1.0,Reciprocating,Business,1.0,0.0,0.0,0.0,VMC,Takeoff,1.0
Accident,CHI82DEE13,1982-02-08,"LANSING, IL",United States,Non-Fatal,Substantial,Airplane,cessna,152,No,1.0,Reciprocating,Instructional,0.0,0.0,0.0,1.0,VMC,Landing,0.0
Accident,CHI82DA043,1982-02-08,"MATTOON, IL",United States,Non-Fatal,Substantial,Airplane,piper,PA-28R-201,No,1.0,Reciprocating,Personal,0.0,0.0,0.0,3.0,IMC,Landing,0.0
Accident,CHI82DA042,1982-02-08,"VALPARAISO, IN",United States,Non-Fatal,Substantial,Airplane,piper,PA-28-161,No,1.0,Reciprocating,Instructional,0.0,0.0,1.0,0.0,VMC,Landing,1.0
Accident,ATL82FKW04,1982-02-08,"NASHVILLE, TN",United States,Non-Fatal,Substantial,Airplane,cessna,182P,No,1.0,Reciprocating,Personal,0.0,0.0,1.0,0.0,VMC,Approach,1.0
Accident,ATL82DA050,1982-02-08,"STATESBORO, GA",United States,Non-Fatal,Substantial,Airplane,cessna,140,No,1.0,Reciprocating,Instructional,0.0,0.0,0.0,1.0,VMC,Landing,0.0
Accident,ATL82DA048,1982-02-08,"NASHVILLE, TN",United States,Non-Fatal,Substantial,Airplane,beech,C-23,No,1.0,Reciprocating,Instructional,0.0,0.0,0.0,1.0,VMC,Takeoff,0.0
Accident,LAX82DA068,1982-02-09,"HICKMAN, CA",United States,Non-Fatal,Destroyed,Airplane,piper,PA-38-112,No,1.0,Reciprocating,Instructional,0.0,0.0,0.0,1.0,VMC,Landing,0.0
Accident,FTW82FRG22,1982-02-09,"CIBOLO, TX",United States,Fatal(1),Destroyed,Airplane,beech,V35A,No,1.0,Reciprocating,Personal,1.0,0.0,0.0,0.0,VMC,Maneuvering,1.0
Accident,LAX82DA066,1982-02-09,"CARLSBAD, CA",United States,Non-Fatal,Substantial,Airplane,cessna,310R,No,2.0,Reciprocating,Business,0.0,0.0,0.0,2.0,VMC,Takeoff,0.0
